cell_id,family,task,model,seed,method,n_calibration,n_test,risk,atom_fraction,precision,iou,selected_grid_fraction,risk_pass,efficiency_pass
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,atom_occlusion,100,100,0.09818360199860063,0.9143819189606812,0.6376329116479069,0.6036684013001069,0.9,True,False
bxaic__rings-count__gin__seed123,bxaic,rings-count,gin,123,gnnexplainer,100,100,0.09546018362170976,0.9076411038403573,0.6364204703852502,0.5939582530724445,0.89,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,gradinput,100,100,0.09909091372856388,0.9143819189606812,0.6369054426003747,0.6016135246597344,0.9,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,ig,100,100,0.0802625716085908,0.9281710810469108,0.6397141389689575,0.6123682387580272,0.91,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,saliency,100,100,0.10180456416636696,0.7574352148819574,0.7492537977684494,0.684792457563343,0.74,False,True
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,atom_occlusion,100,100,0.08175953198885288,0.9281710810469108,0.6392149110726708,0.61180799729936,0.91,True,False
bxaic__rings-count__gin__seed2026,bxaic,rings-count,gin,2026,gnnexplainer,100,100,0.07769800136040829,0.9143819189606812,0.6448827848395489,0.6107128833691482,0.9,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,gradinput,100,100,0.09267910316255586,0.9076411038403573,0.6408770401295497,0.6031891686500832,0.89,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,ig,100,100,0.07993990716922808,0.9281710810469108,0.6406720458811379,0.6141663278931556,0.91,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,saliency,100,100,0.0928039906988605,0.8296037369165117,0.699199707199209,0.6545307987304789,0.81,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,atom_occlusion,100,100,0.07892619865551959,0.9281710810469108,0.6406967951306419,0.6138799534999912,0.91,True,False
bxaic__rings-count__gin__seed42,bxaic,rings-count,gin,42,gnnexplainer,100,100,0.09471171743044286,0.9076411038403573,0.6391257829077547,0.5996724179518264,0.89,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,gradinput,100,100,0.09238674230671058,0.9112922978305771,0.2733397988278019,0.26606965873665794,0.9,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,ig,100,100,0.0940909336128799,0.9220566775769332,0.27045385212415035,0.26347236296519944,0.91,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,saliency,100,100,0.08958254090823083,0.871714262889369,0.28518046701311517,0.2771140719042758,0.86,True,False
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,atom_occlusion,100,100,0.07770570365307207,0.7826963069354224,0.3201619549094082,0.31127404428158223,0.77,True,True
bxaic__rings-max__gcn__seed123,bxaic,rings-max,gcn,123,gnnexplainer,100,100,0.11228332124241364,0.7311164983131135,0.3299088410604547,0.3170608863143447,0.72,False,True
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,gradinput,100,100,0.07447652919104303,0.9220566775769332,0.2753794588192764,0.26947396744941454,0.91,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,ig,100,100,0.0904135980309439,0.8836369141311112,0.28136490544646436,0.2735012832697522,0.87,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,saliency,100,100,0.08772098674189657,0.9220566775769332,0.2719202967224513,0.2653861663604178,0.91,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,atom_occlusion,100,100,0.07157857615879687,0.8032404332913086,0.3168236647406338,0.31006338109531145,0.79,True,False
bxaic__rings-max__gcn__seed2026,bxaic,rings-max,gcn,2026,gnnexplainer,100,100,0.09644915206569933,0.871714262889369,0.2846536069515299,0.2765313308771014,0.86,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,gradinput,100,100,0.08421355279902284,0.9220566775769332,0.27238565989395613,0.2656493343714647,0.91,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,ig,100,100,0.0980663494536947,0.9326148587914482,0.2656616264704725,0.25830931707962745,0.92,True,False
bxaic__rings-max__gcn__seed42,bxaic,rings-max,gcn,42,saliency,100,100,0.0780103672885831,0.9421143220321102,0.2717794726980784,0.2672293538004828,0.93,True,False
